Length (mm),Width (mm),Height (mm),Concrete compressive strength (MPa),Longitudinal steel yield strength (MPa),Longitudinal steel reinforcement ratio (%),Transverse steel yield strength (MPa),Transverse steel reinforcement ratio (%),Axial load ratio,Spacing of transverse steel (mm),Reflected pressure (MPa),Reflected impulse (MPa-msec),Displacement height ratio,Maximum displacement (mm)
152,152,2468,149,486,1.73,604,2.17,0.1,38,0.08,0.75,0.5,47
152,152,2468,149,486,1.73,604,2.17,0.1,38,0.097,0.9,0.5,71
152,152,2468,149,486,1.73,604,2.17,0.1,38,0.085,1.355,0.5,270
152,152,2468,138,486,1.73,604,1.08,0.1,75,0.08,0.75,0.5,60
152,152,2468,145,486,1.73,604,1.08,0.1,75,0.08,0.75,0.5,51
152,152,2468,138,460,3.46,604,1.08,0.1,75,0.08,0.75,0.5,52
152,152,2468,138,460,3.46,604,1.08,0.1,75,0.097,0.9,0.5,88
152,152,2468,150,950,1.84,604,1.08,0.09,75,0.08,0.75,0.5,54
152,152,2468,150,950,1.84,604,1.08,0.09,75,0.097,0.9,0.5,145
300,150,2440,38.5,445,1.78,582,0.41,0,150,0.017,0.112,0.5,10.9
300,150,2440,38.5,445,1.78,582,0.41,0,150,0.035,0.213,0.5,25.4
300,150,2440,38.5,445,1.78,582,0.41,0,150,0.051,0.307,0.5,49.9
300,150,2440,38.5,445,1.78,582,0.41,0,150,0.06,0.366,0.5,80.5
300,150,2440,38.5,445,1.78,582,0.41,0,150,0.087,0.634,0.5,247.2
300,150,2440,32.8,445,1.78,582,0.41,0,150,0.016,0.146,0.5,8
300,150,2440,32.8,445,1.78,582,0.41,0,150,0.029,0.201,0.5,24.1
300,150,2440,32.8,445,1.78,582,0.41,0,150,0.042,0.306,0.5,39.1
300,150,2440,32.8,445,1.78,582,0.41,0,150,0.058,0.396,0.5,49.6
300,150,2440,32.8,445,1.78,582,0.41,0,150,0.077,0.558,0.5,91.9
300,150,2440,32.8,445,1.78,582,0.41,0,150,0.089,0.719,0.5,183.2
300,150,2440,30.8,445,1.78,582,0.41,0,150,0.02,0.144,0.5,9.6
300,150,2440,30.8,445,1.78,582,0.41,0,150,0.025,0.189,0.5,15.9
300,150,2440,30.8,445,1.78,582,0.41,0,150,0.045,0.279,0.5,26.4
300,150,2440,30.8,445,1.78,582,0.41,0,150,0.06,0.419,0.5,46.6
300,150,2440,30.8,445,1.78,582,0.41,0,150,0.071,0.586,0.5,81
300,150,2440,30.8,445,1.78,582,0.41,0,150,0.084,0.721,0.5,94.7
300,150,2440,30.8,445,1.78,582,0.41,0,150,0.088,1.129,0.5,141.8
300,150,2440,30.4,445,1.78,582,0.41,0,150,0.018,0.141,0.5,12.1
300,150,2440,30.4,445,1.78,582,0.41,0,150,0.026,0.202,0.5,16.3
300,150,2440,30.4,445,1.78,582,0.41,0,150,0.052,0.398,0.5,33.6
152,152,2468,52,483,1.72,604,1.08,0.4,75,0.014,0.13,0.5,6.4
152,152,2468,52,483,1.72,604,1.08,0.4,75,0.042,0.381,0.5,29.9
152,152,2468,52,483,1.72,604,1.08,0.4,75,0.088,0.781,0.5,126.2
152,152,2468,52,483,1.72,604,2.17,0.4,38,0.013,0.123,0.5,6.6
152,152,2468,52,483,1.72,604,2.17,0.4,38,0.041,0.401,0.5,25
152,152,2468,52,483,1.72,604,2.17,0.4,38,0.079,0.756,0.5,92
152,152,2468,52,483,1.72,604,2.17,0.4,38,0.109,0.964,0.5,340.9
152,152,2468,145,483,1.72,604,1.08,0.16,75,0.013,0.109,0.5,5.2
152,152,2468,145,483,1.72,604,1.08,0.16,75,0.044,0.334,0.5,21.2
152,152,2468,145,483,1.72,604,1.08,0.16,75,0.082,0.736,0.5,67.8
152,152,2468,145,483,1.72,604,1.08,0.16,75,0.089,0.938,0.5,309.5
152,152,2468,153,483,1.72,604,1.08,0.15,75,0.013,0.124,0.5,4.7
152,152,2468,153,483,1.72,604,1.08,0.15,75,0.046,0.398,0.5,21.6
152,152,2468,153,483,1.72,604,1.08,0.15,75,0.083,0.776,0.5,57.2
152,152,2468,153,483,1.72,604,1.08,0.15,75,0.091,1.002,0.5,94.3
152,152,2468,165,483,1.72,604,1.08,0.14,75,0.014,0.127,0.5,5.3
152,152,2468,165,483,1.72,604,1.08,0.14,75,0.043,0.384,0.5,23.2
152,152,2468,165,483,1.72,604,1.08,0.14,75,0.075,0.717,0.5,56.3
152,152,2468,165,483,1.72,604,1.08,0.14,75,0.103,0.887,0.5,373.2
152,152,2468,149,483,1.72,604,2.17,0.16,38,0.014,0.106,0.5,5.2
152,152,2468,149,483,1.72,604,2.17,0.16,38,0.046,0.381,0.5,20.2
152,152,2468,149,483,1.72,604,2.17,0.16,38,0.072,0.694,0.5,47.4
152,152,2468,149,483,1.72,604,2.17,0.16,38,0.093,0.841,0.5,71.3
152,152,2468,149,483,1.72,604,2.17,0.16,38,0.098,0.771,0.5,269.5
152,152,2468,138,486,1.72,604,1.08,0.17,75,0.043,0.456,0.5,17.6
152,152,2468,138,486,1.72,604,1.08,0.17,75,0.081,0.855,0.5,60.1
152,152,2468,138,457,3.46,604,1.08,0.15,75,0.042,0.422,0.5,19.9
152,152,2468,138,457,3.46,604,1.08,0.15,75,0.077,0.815,0.5,52
152,152,2468,138,457,3.46,604,1.08,0.15,75,0.086,0.984,0.5,74.7
152,152,2468,138,457,3.46,604,1.08,0.15,75,0.086,0.859,0.5,88.1
152,152,2468,145,486,1.72,604,1.08,0.16,75,0.042,0.371,0.5,15.7
152,152,2468,145,486,1.72,604,1.08,0.16,75,0.08,0.778,0.5,50.6
152,152,2468,145,486,1.72,604,2.17,0.16,38,0.042,0.441,0.5,19.6
152,152,2468,145,486,1.72,604,2.17,0.16,38,0.08,0.771,0.5,41.4
152,152,2468,145,486,1.72,604,2.17,0.16,38,0.085,0.921,0.5,111.8
152,152,2468,128,457,3.46,604,1.08,0.16,75,0.041,0.427,0.5,20.2
152,152,2468,128,457,3.46,604,1.08,0.16,75,0.075,0.825,0.5,46.8
152,152,2468,128,457,3.46,604,1.08,0.16,75,0.086,0.894,0.5,78.8
152,152,2468,128,457,3.46,604,1.08,0.16,75,0.082,0.747,0.5,82.8
160,160,2468,25.8,411,2.78,595,0.42,0.4,150,0.014,0.122,0.5,8.23
160,160,2468,25.8,411,2.78,595,0.42,0.4,150,0.03,0.268,0.5,25.21
160,160,2468,25.8,411,2.78,595,0.42,0.4,150,0.068,0.689,0.5,127.6
160,160,2468,25.8,411,2.78,595,0.84,0.4,75,0.014,0.116,0.5,5.69
160,160,2468,25.8,411,2.78,595,0.84,0.4,75,0.034,0.285,0.5,21.74
160,160,2468,25.8,411,2.78,595,0.84,0.4,75,0.067,0.53,0.5,105.69
160,160,2468,152,411,2.78,595,0.84,0.15,75,0.012,0.082,0.5,3.46
160,160,2468,152,411,2.78,595,0.84,0.15,75,0.032,0.264,0.5,16.26
160,160,2468,152,411,2.78,595,0.84,0.15,75,0.07,0.719,0.5,79.71
200,150,2440,58.4,484,1.3,413,0.81,0.3,75,0.067,0.377,0.5,37.9
200,150,2440,58.4,484,1.3,413,0.81,0.3,75,0.083,0.431,0.5,93.5
200,150,2440,58.4,484,1.3,413,0.81,0.3,75,0.062,0.398,0.5,31.8
200,150,2440,58.4,484,1.3,413,0.81,0.3,75,0.08,0.438,0.5,42.5
300,300,3000,53.3,453,1.4,335,0.62,0.12,200,0.092,0.108,0.25,15.7
